channel,y,x
1,677,922
1,717,874
1,595,927
1,613,911
1,658,944
1,695,905
1,641,845
1,590,956
1,688,848
1,725,870
1,629,839
1,663,916
1,700,855
1,592,54
1,653,18
1,587,54
1,596,30
1,650,44
1,635,65
1,605,61
1,665,29
1,591,52
1,596,49
1,635,52
1,638,46
1,634,23
1,642,51
1,629,60
1,706,1223
1,737,1197
1,715,1266
1,659,1218
1,701,1240
1,687,1203
1,680,1267
1,708,1207
1,661,1211
1,639,1175
1,654,1197
1,712,1258
1,690,1267
1,712,1223
1,665,1244
1,645,1190
1,637,1167
1,659,1222
1,640,1170
1,670,1189
1,659,1275
1,701,1214
1,728,1215
1,690,1264
1,701,1251
1,705,1278
1,712,1269
1,635,1177
1,712,1263
1,690,1195
1,645,1185
1,672,207
1,707,301
1,654,213
1,723,236
1,668,235
1,734,271
1,741,297
1,740,278
1,734,298
1,734,10
1,723,15
1,764,1354
1,743,1380
1,738,1308
1,769,1320
1,728,1294
1,781,1280
1,771,603
1,793,599
1,738,594
1,770,602
1,751,577
1,766,596
1,756,551
1,789,538
1,721,601
1,730,597
1,771,577
1,803,559
1,804,555
1,727,604
1,729,594
1,796,575
1,785,536
1,771,593
1,778,536
1,766,527
1,771,379
1,785,449
1,791,440
1,806,419
1,787,8
1,851,21
1,847,26
1,851,60
1,837,65
1,832,107
1,880,112
1,874,1078
1,899,1120
1,860,1160
1,859,1150
1,871,1101
1,791,1118
1,890,1123
1,874,1066
1,805,1147
1,881,1039
1,864,1159
1,887,1127
1,839,1137
1,822,1153
1,844,1179
1,874,1100
1,892,1115
1,877,1065
1,804,1132
1,887,1119
1,876,1050
1,856,1102
1,849,1147
1,787,1124
1,855,1149
1,878,1059
1,881,1086
1,873,1055
1,836,1094
1,829,1075
1,850,1073
1,865,1381
1,834,1377
1,894,1361
1,894,1384
1,835,1358
1,823,1372
1,913,536
1,869,557
1,904,570
1,903,572
1,925,569
1,894,641
1,954,564
1,942,583
1,957,499
1,942,1032
1,883,943
1,925,1014
1,932,1002
1,881,1035
1,863,951
1,868,1022
1,887,1018
1,932,980
1,883,1020
1,924,1040
1,924,974
1,886,1003
1,888,1002
1,883,1016
1,880,972
1,895,979
1,921,952
1,938,1031
1,869,953
1,929,1021
1,910,1302
1,871,1260
1,987,1347
1,995,1361
1,985,1353
1,1036,1374
1,921,1301
1,994,1352
1,926,1279
1,912,1284
1,884,1265
1,910,53
1,959,17
1,955,14
1,884,75
1,967,22
1,966,270
1,931,172
1,937,238
1,933,302
1,937,208
1,954,294
1,984,256
1,936,187
1,991,231
1,913,192
1,964,291
1,1003,288
1,1008,288
1,1006,154
1,1017,140
1,992,119
1,1012,1179
1,1026,1156
1,1023,1101
1,1022,1188
1,987,1117
1,1018,1143
1,1032,1066
1,997,1169
1,1035,1042
1,1027,1145
1,1026,1052
1,1012,1194
1,1006,1182
1,1029,1171
1,996,1115
1,1036,1151
1,1028,1052
1,1021,1195
1,1028,1193
1,997,1100
1,1001,1161
1,1015,1053
1,997,1097
1,1030,1198
1,1009,1058
1,1036,1161
1,1026,1187
1,1019,1197
1,1010,509
1,1010,472
