area,intensity_mean,intensity_std,intensity_max,intensity_min,perimeter,cell_id,image_id,condition
441.0,660.780045351474,217.49546175263325,1159.0,288.0,98.28427124746189,90,F01_202,control
7843.0,382.8347571082494,173.93494698928617,1013.0,113.0,479.5046173579947,1,F02_92,drug
9839.0,802.8478503913,709.8284779148781,4095.0,128.0,598.848809129029,2,F02_92,drug
6236.0,466.3351507376523,239.02828848576343,1205.0,98.0,541.1025971044414,3,F02_92,drug
3247.0,720.4545734524177,410.33004175028617,2328.0,174.0,261.72287142747456,4,F02_92,drug
12932.0,253.93156510980512,110.81402762772602,725.0,80.0,656.9259735953043,5,F02_92,drug
8507.0,441.1221347125896,152.61612987005242,999.0,139.0,489.6000717874997,6,F02_92,drug
3942.0,995.742262810756,432.94252431527315,2316.0,184.0,333.5218613006978,7,F02_92,drug
2490.0,1217.316465863454,447.0753890160082,2848.0,202.0,205.4386001800126,8,F02_92,drug
4089.0,599.5886524822695,278.4264681107928,1639.0,164.0,384.4041122946064,9,F02_92,drug
6690.0,609.7881913303438,326.1004368257187,2498.0,139.0,484.6173157302028,10,F02_92,drug
4784.0,596.2111204013378,331.91278230927344,1822.0,128.0,493.78888860545663,11,F02_92,drug
7501.0,427.8236235168644,149.57182618961505,934.0,129.0,475.42240225783604,12,F02_92,drug
2825.0,1123.3571681415929,458.2833333974264,2789.0,199.0,267.4213562373095,13,F02_92,drug
2641.0,936.8962514199167,562.5547198165856,2682.0,133.0,272.8772003600252,14,F02_92,drug
5571.0,596.48070364387,234.7327489152855,1536.0,157.0,328.88939366884495,15,F02_92,drug
6993.0,421.37666237666235,212.26948175828002,1599.0,121.0,547.3158005400378,16,F02_92,drug
8790.0,307.64459613196817,165.8286832438348,1303.0,111.0,601.7716446627535,17,F02_92,drug
8328.0,528.131484149856,281.94919802537777,1636.0,112.0,726.239682094289,18,F02_92,drug
9820.0,271.1622199592668,87.29289285464932,674.0,129.0,411.9310242291875,19,F02_92,drug
3683.0,615.4623947868586,266.6608493276179,1874.0,135.0,319.36857838867365,20,F02_92,drug
4401.0,491.8425357873211,255.78606711165529,1518.0,120.0,381.3269478283311,21,F02_92,drug
4211.0,559.3281880788411,302.22785632993754,1502.0,123.0,344.8061325481598,22,F02_92,drug
5228.0,401.07631981637337,168.9040263361017,901.0,125.0,388.8772003600252,23,F02_92,drug
12354.0,340.16027197668774,124.74847826067486,942.0,118.0,540.8599564173221,24,F02_92,drug
6593.0,389.4985590778098,195.5782212424116,1438.0,105.0,517.0020920410531,25,F02_92,drug
1554.0,227.61454311454312,146.8473631931677,710.0,86.0,376.6173157302028,26,F02_92,drug
5375.0,551.2461395348837,295.14628847636874,1689.0,128.0,435.1198410471445,27,F02_92,drug
3863.0,238.7608076624385,84.69714129341834,574.0,117.0,354.19090885900994,28,F02_92,drug
5085.0,478.14670599803344,193.96869181288983,1176.0,107.0,413.38077169749346,29,F02_92,drug
2998.0,815.4899933288859,412.0107607550057,2429.0,186.0,242.16652224137044,30,F02_92,drug
4420.0,888.3488687782806,421.72092003974956,2393.0,180.0,383.60512242138304,31,F02_92,drug
6506.0,408.0078389179219,197.1491586262438,1312.0,118.0,410.81832585697947,32,F02_92,drug
4619.0,515.3940246806668,317.2521263004362,1643.0,120.0,432.4751801064719,33,F02_92,drug
8465.0,492.0563496751329,204.16615314185273,1209.0,114.0,638.0142853498729,34,F02_92,drug
6649.0,450.2042412392841,245.11592790771843,1769.0,112.0,572.2152954766495,35,F02_92,drug
8103.0,406.1833888683204,153.79820586046117,962.0,112.0,433.00209204105306,36,F02_92,drug
9622.0,355.90688006651425,137.80755010215108,916.0,109.0,458.75945135393374,37,F02_92,drug
7223.0,317.39886473764363,145.37820168234654,1381.0,109.0,455.88939366884495,38,F02_92,drug
5137.0,2359.7609499708,1210.807861924614,4095.0,194.0,274.2497833620557,39,F02_92,drug
5019.0,327.1237298266587,167.99879158984467,1366.0,114.0,420.71782079359116,40,F02_92,drug
905.0,122.36353591160221,26.930633150038826,218.0,73.0,162.50966799187808,41,F02_92,drug
3572.0,856.0635498320269,780.9334743921177,4095.0,131.0,305.63455967290594,42,F02_92,drug
